EventID,LocationID,NPeople,NLanterns,NCars,beach,Date,CorrectionFactor,CPUE,DiggersPeople,DiggersLanterns,AvgPplPerCar,CalcPeople,EstCorEffort,TotHarvest
1363,31005,NA,NA,281,Copalis,2017-01-28,0.52060002,10.402298850574713,0.9560439560439561,NA,2.588235294117647,727.2941176470589,1335.622586881177,13893.545300315693
1363,32007,NA,NA,232,Copalis,2017-01-28,0.52060002,10.402298850574713,0.9560439560439561,NA,2.588235294117647,600.4705882352941,1102.7204276029645,11470.827436559573
1363,32009,NA,NA,248,Copalis,2017-01-28,0.52060002,10.402298850574713,0.9560439560439561,NA,2.588235294117647,641.8823529411765,1178.770112265238,12261.91898390851
1363,33012,NA,NA,450,Copalis,2017-01-28,0.52060002,10.402298850574713,0.9560439560439561,NA,2.588235294117647,1164.7058823529412,2138.89738112644,22249.449769188832
1363,33013,NA,NA,0,Copalis,2017-01-28,0.52060002,10.402298850574713,0.9560439560439561,NA,2.588235294117647,0,0,0
1364,31002,NA,NA,0,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,0,0,0
1364,31005,NA,NA,37,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,69.88888888888889,129.61758216830648,1841.9340623917237
1364,32007,NA,NA,25,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,47.22222222222222,87.57944741101791,1244.5500421565703
1364,32009,NA,NA,32,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,60.44444444444444,112.10169268610292,1593.0240539604101
1364,33012,NA,NA,57,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,107.66666666666666,199.68114009712082,2837.57409611698
1364,33013,NA,NA,0,Copalis,2017-01-29,0.51223332,14.210526315789474,0.95,NA,1.8888888888888888,0,0,0
1365,41100,NA,NA,1,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,2.473684210526316,3.453518090929356,51.00580565064895
1365,41200,NA,NA,5,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,12.368421052631579,17.26759045464678,255.02902825324475
1365,41300,NA,NA,38,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,94,131.2336874553155,1938.2206147246598
1365,41400,NA,NA,32,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,79.15789473684211,110.51257890973939,1632.1857808207665
1365,42500,NA,NA,16,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,39.578947368421055,55.256289454869695,816.0928904103832
1365,42600,NA,NA,46,Mocrocks,2017-01-29,0.57010001,14.76923076923077,0.7959183673469388,NA,2.473684210526316,113.78947368421053,158.86183218275036,2346.2670599298517
1366,31002,NA,NA,0,Copalis,2017-01-30,0.45056668,15,1,NA,2.25,0,0,0
1366,31005,NA,NA,29,Copalis,2017-01-30,0.45056668,15,1,NA,2.25,65.25,144.81763276414492,2172.2644914621737
1366,32007,NA,NA,17,Copalis,2017-01-30,0.45056668,15,1,NA,2.25,38.25,84.89309506863668,1273.3964260295502
