EventID,LocationID,NHoles,NClams,NMorts
381,42600,100,4,4
381,41300,100,5,5
382,42600,100,2,2
382,42500,100,1,1
382,41400,100,3,3
383,22307,100,7,7
383,21200,100,15,15
383,21200,100,12,12
384,22309,100,3,3
384,22307,100,8,8
384,21200,100,2,2
385,21200,100,12,12
385,22307,100,3,3
385,22309,100,3,3
386,22307,100,1,1
386,21200,100,2,2
387,22307,100,0,0
387,21200,100,7,7
388,12400,100,1,1
388,12500,100,1,1
388,12600,100,0,0
389,12400,100,0,0
389,12500,100,0,0
389,12600,100,2,2
415,12400,100,0,0
415,12500,100,2,1
415,12600,100,0,0
416,21200,100,2,2
416,22307,100,6,6
417,33012,50,2,2
417,33012,100,1,1
418,42500,50,1,1
13,42500,100,0,0
14,42600,50,4,3
14,41400,50,1,1
14,41300,100,5,5
16,42500,100,8,8
16,42600,50,4,4
16,41300,100,7,7
18,32007,100,1,1
21,32009,100,0,0
24,32007,100,1,1
24,32005,100,4,4
27,32007,100,7,7
28,31005,100,3,3
29,31005,100,3,3
29,32007,100,2,2
30,22309,100,4,4
31,22309,100,1,1
31,22307,100,9,8
32,21200,100,2,2
32,22307,100,5,5
34,22307,100,5,5
38,22309,100,1,1
41,21200,100,1,1
446,21200,100,2,2
446,22307,100,1,1
446,22309,50,3,3
453,21200,100,3,3
453,22307,50,1,1
454,22309,100,2,2
455,22309,100,5,5
459,21200,50,4,4
459,22307,50,5,5
474,31005,50,0,0
475,31005,100,3,3
484,21200,100,2,2
484,22307,100,5,5
499,12600,50,10,10
499,12500,50,6,5
499,11200,50,4,3
499,11104,50,4,3
502,12300,75,4,4
502,11104,200,12,12
502,11200,75,3,3
502,12600,50,11,7
502,12500,50,12,8
502,12400,50,2,2
503,11104,50,3,3
503,11200,30,3,3
503,11104,50,5,5
518,12400,104,2,1
518,11200,210,8,6
519,12400,50,0,0
519,11200,65,0,0
520,12500,112,3,3
520,12300,110,2,2
520,11200,110,4,4
520,11104,107,1,1
525,31005,100,1,1
531,21200,100,4,4
531,22307,100,12,12
535,11104,100,1,1
535,11200,100,3,2
535,12300,50,0,0
535,12400,56,1,1
536,12500,50,2,2
536,12600,50,0,0
761,21200,100,7,7
762,22307,100,7,6
762,22309,100,8,8
766,22307,100,7,7
766,21200,100,9,9
767,21200,100,8,8
767,22307,100,11,11
767,22309,100,9,9
767,21100,100,6,6
768,22307,100,6,6
771,12400,90,8,8
771,12600,90,10,10
771,12500,90,3,3
776,21200,100,4,4
781,21200,100,1,1
781,22307,100,7,7
781,22309,100,4,4
783,22307,100,2,2
783,21200,100,2,2
783,21200,100,8,8
786,31005,100,3,3
786,32007,100,2,2
788,42500,100,11,11
788,42600,100,2,2
787,31005,100,5,5
789,41400,50,5,5
791,21200,100,4,4
791,22307,100,2,2
793,12400,100,0,0
793,12500,100,2,2
793,12600,100,0,0
800,22307,100,6,6
801,21200,100,2,2
801,21200,100,6,6
801,22309,100,0,0
801,22307,100,2,2
802,41300,100,0,0
802,41400,100,1,1
803,31005,100,1,8
803,32007,100,8,8
805,32007,100,2,2
805,31005,100,5,5
805,33012,100,7,7
806,41300,100,3,3
806,41400,100,3,3
808,42500,100,1,1
811,12400,100,1,1
812,12600,100,2,1
812,12500,100,2,2
816,21200,100,5,5
816,22307,100,3,3
816,22309,100,5,5
818,21200,100,3,3
818,22307,100,2,2
819,41300,100,1,1
819,41400,100,4,4
836,21200,100,2,2
844,12600,100,6,6
844,12500,100,1,1
846,41100,100,0,0
859,21200,100,5,5
859,22309,100,1,1
865,31005,100,0,0
867,21200,100,1,1
867,22309,100,0,0
876,21200,100,3,3
876,22309,100,1,1
877,12600,50,2,2
879,41400,100,1,1
880,41300,100,5,5
884,41400,50,2,2
885,31005,100,2,2
886,41100,100,2,2
904,21200,100,1,0
904,21200,100,1,1
904,22309,100,4,4
905,21200,100,3,3
906,22307,100,0,0
911,21200,100,1,1
911,22309,100,1,1
911,22307,100,1,1
917,21200,100,1,1
917,21200,100,2,2
918,21200,100,2,2
918,22309,100,3,3
919,41300,100,1,1
919,42600,0,0,0
920,12600,100,2,2
920,12500,90,1,1
921,42600,100,4,4
921,41400,100,3,3
923,21200,100,2,2
923,22307,100,3,3
923,22309,100,0,0
926,21200,100,3,3
926,22307,100,1,1
930,12600,50,1,1
933,21200,100,4,4
934,42500,100,3,3
934,41300,100,3,3
940,12600,100,1,1
941,21200,100,2,2
943,21200,100,5,5
944,32009,100,1,1
944,22307,100,5,5
945,21200,100,2,2
946,21200,100,5,5
947,21200,100,2,2
950,21200,100,4,4
950,22307,100,4,4
951,21200,100,4,4
951,22307,100,2,2
951,22309,100,1,1
952,12600,100,4,4
953,11104,100,4,4
953,11200,100,1,1
953,12400,50,1,1
953,12500,50,2,2
953,12600,50,0,0
953,12300,50,0,0
954,21200,100,8,8
