target,donor,cf_model,m_counted,pct_counted,imputed_share,imputed_eff_share,cv_eff,cv_harv,cf_lab
Long Beach,Copalis,condition,76,0.7378640776699029,0.2621359223300971,0.0333656986958377,0.08550983832349185,0.09011427055837663,Separate daylight / evening tables
Long Beach,Copalis,condition,83,0.8058252427184466,0.19417475728155342,0.018970613794528357,0.08439364704179379,0.08892981796136937,Separate daylight / evening tables
Long Beach,Copalis,condition,89,0.8640776699029126,0.13592233009708743,0.009856089387978644,0.08584711267957668,0.0905936950043604,Separate daylight / evening tables
Long Beach,Copalis,condition,96,0.9320388349514563,0.06796116504854366,0.003075127494966346,0.0860819531859475,0.09056487261305583,Separate daylight / evening tables
Long Beach,Copalis,condition,103,1,0,0,0.08742106439177004,0.0915599759664307,Separate daylight / evening tables
Twin Harbors,Copalis,single,1,0.009708737864077669,0.9902912621359223,0.9544565203961372,0.06055805289289399,0.15663037886973055,One operational table (current)
Twin Harbors,Copalis,single,8,0.07766990291262135,0.9223300970873787,0.7567379570367583,0.05723714377110007,0.13017207835382086,One operational table (current)
Twin Harbors,Copalis,single,15,0.14563106796116504,0.854368932038835,0.5988922861492916,0.055627371152852295,0.11077398762318229,One operational table (current)
Twin Harbors,Copalis,single,21,0.20388349514563106,0.7961165048543689,0.48330649710801116,0.05472159885561789,0.09556955894285703,One operational table (current)
Twin Harbors,Copalis,single,28,0.27184466019417475,0.7281553398058253,0.3781765040583575,0.05374696241003519,0.08474167798842765,One operational table (current)
Twin Harbors,Copalis,single,35,0.33980582524271846,0.6601941747572815,0.2989664457811486,0.05252269968099474,0.07536412898849451,One operational table (current)
Twin Harbors,Copalis,single,42,0.4077669902912621,0.5922330097087378,0.22833237786272428,0.053616704382388705,0.06983671998169858,One operational table (current)
Twin Harbors,Copalis,single,49,0.47572815533980584,0.5242718446601942,0.16797577892033602,0.05256945280378216,0.06372768684694231,One operational table (current)
Twin Harbors,Copalis,single,55,0.5339805825242718,0.46601941747572817,0.12446829495999273,0.05281367055304354,0.06021552710926445,One operational table (current)
Twin Harbors,Copalis,single,62,0.6019417475728155,0.3980582524271845,0.08575571831469282,0.05170417224696153,0.05832877781120138,One operational table (current)
Twin Harbors,Copalis,single,69,0.6699029126213593,0.33009708737864074,0.05738614170744585,0.051612052463277436,0.05732268371797258,One operational table (current)
Twin Harbors,Copalis,single,76,0.7378640776699029,0.2621359223300971,0.03756617459108621,0.053109370666983124,0.05829546637157876,One operational table (current)
Twin Harbors,Copalis,single,83,0.8058252427184466,0.19417475728155342,0.02047583298674239,0.05227887240585929,0.05670775461874116,One operational table (current)
Twin Harbors,Copalis,single,89,0.8640776699029126,0.13592233009708743,0.010593310952308692,0.052087753693809524,0.056792895822040744,One operational table (current)
Twin Harbors,Copalis,single,96,0.9320388349514563,0.06796116504854366,0.0029135547047116324,0.05248671779362937,0.057894759281623125,One operational table (current)
Twin Harbors,Copalis,single,103,1,0,0,0.050873588139058006,0.056105180495944956,One operational table (current)
Twin Harbors,Copalis,condition,1,0.009708737864077669,0.9902912621359223,0.9544565203961372,0.06702148844780213,0.16569331797824682,Separate daylight / evening tables
Twin Harbors,Copalis,condition,8,0.07766990291262135,0.9223300970873787,0.7567379570367583,0.06577586197742669,0.13763072815403038,Separate daylight / evening tables
Twin Harbors,Copalis,condition,15,0.14563106796116504,0.854368932038835,0.5988922861492916,0.06337302759219775,0.11581165458984695,Separate daylight / evening tables
Twin Harbors,Copalis,condition,21,0.20388349514563106,0.7961165048543689,0.48330649710801116,0.06234275300649738,0.10031979516499615,Separate daylight / evening tables
Twin Harbors,Copalis,condition,28,0.27184466019417475,0.7281553398058253,0.3781765040583575,0.06192230424681299,0.09155298300940375,Separate daylight / evening tables
Twin Harbors,Copalis,condition,35,0.33980582524271846,0.6601941747572815,0.2989664457811486,0.06122095122524139,0.08090132194296407,Separate daylight / evening tables
Twin Harbors,Copalis,condition,42,0.4077669902912621,0.5922330097087378,0.22833237786272428,0.060166623303934214,0.07600052288797074,Separate daylight / evening tables
Twin Harbors,Copalis,condition,49,0.47572815533980584,0.5242718446601942,0.16797577892033602,0.059243543568789636,0.06950450675223575,Separate daylight / evening tables
Twin Harbors,Copalis,condition,55,0.5339805825242718,0.46601941747572817,0.12446829495999273,0.05961348004160242,0.06755720143389846,Separate daylight / evening tables
Twin Harbors,Copalis,condition,62,0.6019417475728155,0.3980582524271845,0.08575571831469282,0.060438640703772015,0.06761157459482492,Separate daylight / evening tables
Twin Harbors,Copalis,condition,69,0.6699029126213593,0.33009708737864074,0.05738614170744585,0.0596724665876401,0.06610870386695746,Separate daylight / evening tables
Twin Harbors,Copalis,condition,76,0.7378640776699029,0.2621359223300971,0.03756617459108621,0.060443247066277205,0.0674487829566025,Separate daylight / evening tables
Twin Harbors,Copalis,condition,83,0.8058252427184466,0.19417475728155342,0.02047583298674239,0.05771506847027987,0.06410776657179627,Separate daylight / evening tables
Twin Harbors,Copalis,condition,89,0.8640776699029126,0.13592233009708743,0.010593310952308692,0.05788838194541407,0.06442691631988029,Separate daylight / evening tables
Twin Harbors,Copalis,condition,96,0.9320388349514563,0.06796116504854366,0.0029135547047116324,0.05972080279723932,0.06559011321934925,Separate daylight / evening tables
Twin Harbors,Copalis,condition,103,1,0,0,0.05975343399137542,0.06584417275370118,Separate daylight / evening tables
